Index,ari,name,verse
1,1:1:1,Asomafo Gyedzi 1:1,"Megye Nyankopɔn egya tumfo, 
sor nye asaase bɔfo no midzi: 
nye ne ba kortoo Jesus Christ a 
ɔyɛ hɛn Ewuradze a wofi sunsum 
krɔnkrɔn mu nyinsen no."
3,1:2:1,Asomafo Gyedzi 1:2,"Ↄbaabun Mary woono,
ohun amandze wɔ Pontius Pilate nsa.
Wɔbɔɔ no mbeamudua mu.
Owui, wosiee no, osianee kɔr samanadze.
Da a otsia ebiasa no, ɔsoree fii ewufo mu.
Ↄfowee kɔr sor."
4,1:2:1,Asomafo Gyedzi 1:3,"Na ɔtse Nyankopɔn egya tumfo no abanyimfa. 
Hɔ na ofi bɛba ebobu enyimkamfo nye ewufo atsɛn. 
Megye sunsum krɔnkrɔn midzi;
asɔr krɔnkrɔn a ɔwɔ mbea nyina; 
ahotseweefo nkitahodzi, bɔnfakyɛ, 
nyimpadua no wunyan;
nye nkwa a onnyi ewiei nyina midzi. 
	Amen."
2,1:2:1,Nicea Gyedzi 1:1,"MEGYE Nyankopɔn Kor Egya Tumfo no, 
Ↄsor nye asaase, nye ndzɛmba a enyi tua ho 
nye dza enyi nntua ho nyina Bɔfo no midzi: 
Nye Ewuradze Kor Jesus Christ, 
Nyame Ne Ba a ɔwoo no kor no,"
5,1:2:1,Nicea Gyedzi 1:2,"N’ Egya woo No ansaana wiadze nyina reba,
Nyankopɔn a ofir Nyankopɔn, Kan a ofir kan,
Nyame tsenene a ofir Nyame tsenene, Wɔwoo No,
wɔannyɛ No, Ↄnye Egya no mina kor:
Wɔnam No do yɛɛ adze nyina,"
6,1:2:1,Nicea Gyedzi 1:3,"Ↄno a hɛn adasa ntsi nye hɛn nkwagye ntsi, 
ofi sor bae , Na wɔnam Sunsum
Krɔnkrɔn do yɛɛ No nyimpa wɔ Ↄbaabun Mary mu,
Na ɔyɛɛ nyimpa, Na wɔbɔɔ No mbeamudua mu so
wɔ hɛn ntsi, wɔ Pontius Pilate nsa."
7,1:2:1,Nicea Gyedzi 1:4,"Ohun amandze na wosiee No, 
Na da a otsia ebiasa no ɔsoɛɛr bio dɛ
mbrɛ kyerɛwsɛm no tse. 
Na ɔfowee kɔr sor,
Na ɔtse Egya no abanyimfa.
Na ɔbɛba bio wɔ enyimnyam mu ebobu enyikamfo
na ewufo atsɛn:"
8,1:2:1,Nicea Gyedzi 1:5,"Ↄno a N’ahendzi nnyi ewiei.
Megye Sunsum Krɔnkrɔn so midzi, 
Nkwa Wura nye ne Mafo, 
Ↄno a ofi Egya nye Ba no mu firii a, wɔsɔr
No na wɔhyɛ No enyimnyam ka Egya no nye Ba no
ho; 
Ↄno a ɔnam nkɔnhyɛfo no do kasae no."
9,1:2:1,Nicea Gyedzi 1:5,"Eso megye Asomafo Asɔr kor a ɔwɔ mbea nyina
midzi. 
Na megye bɔnfakyɛ ho Enuma kor moto mu.
Na mohwɛ Ewufomusoɛr kwan, nye wiadze a ɔreba
no mu nkwa no. 
		Amen."
