Index,ari,name,verse
1,1:1:1,Apostles Creed 1:1,"I Believe in God the Father Almighty,
Maker of heaven and earth: 
And in Jesus Christ His only Son our Lord,
Who was conceived by the Holy Ghost,
Born of the Virgin Mary, 
Suffered under Pontius Pilate,"
2,1:1:1,Apostles Creed 1:2,"Was crucified, dead and buried, 
He descended into hell; 
The third day he rose again from the dead,
He ascended into heaven,
And sitteth on the right hand of God 
the FatherAlmighty;"
3,1:1:1,Apostles Creed 1:3,"From thence He shall come to 
judge the quick and the dead. 
I believe in the Holy Ghost;
the holy Catholic  Church ; 
The Communion of Saints ; 
The Forgiveness of sins ; 
The Resurrection of the body ; 
And The life everlasting. 

Amen."
4,1:2:1,Nicene Creed 1:1,"I Believe in one God, the Father Almighty, 
Maker of heaven and earth, of all things visible and invisible: And in one Lord Jesus Christ, 
the only-begotten Son of God, 
Begotten of His Father before all worlds, 
God of God, Light of Light, Very God of very God, 
Begotten, not made, Being of one substance with the Father; 
By whom all things were made,"
5,1:2:1,Nicene Creed 1:2,"Who for us men, and for our salvation came down from heaven,
And was incarnate by the Holy Ghost of the Virgin Mary, 
And was made man, And was Crucified also for us under Pontius Pilate. 
He suffered and was buried, 
And the third day He rose  again according to the Scriptures, And ascended into heaven, 
And sitteth on the right hand of the Father."
6,1:2:1,Nicene Creed 1:3,"And he shall come again with glory to judge both the quick and the dead; 
Whose  kingdom shall have no end. 
And I believe in the Holy Ghost,
The Lord and Giver of  life, 
Who proceedeth from the Father and the Son, 
Who, with the Father and the Son together, 
is worshipped and glorified, 
Who spake by the Prophets."
7,1:2:1,Nicene Creed 1:4,"And I believe one Holy, Catholic and  Apostolic Church. 
I acknowledge one Baptism for the re- mission of sins, 
And I look for the Resurrection of the dead, 
And the life of the world to come. 
Amen."
